prompt,output
Raise 94 to the 71th power.,"<calc>
  <expression>
    <type>binary</type>
    <operation>power</operation>
    <operands>
      <operand>94</operand>
      <operand>71</operand>
    </operands>
  </expression>
</calc>"
What is 43 raised to the power of 88?,"<calc>
  <expression>
    <type>binary</type>
    <operation>power</operation>
    <operands>
      <operand>43</operand>
      <operand>88</operand>
    </operands>
  </expression>
</calc>"
Sum up 23 and 75 for me.,"<calc>
  <expression>
    <type>binary</type>
    <operation>add</operation>
    <operands>
      <operand>23</operand>
      <operand>75</operand>
    </operands>
  </expression>
</calc>"
Add the numbers 69 and 16.,"<calc>
  <expression>
    <type>binary</type>
    <operation>add</operation>
    <operands>
      <operand>69</operand>
      <operand>16</operand>
    </operands>
  </expression>
</calc>"
What is the square root of 2?,"<calc>
  <expression>
    <type>unary</type>
    <operation>sqrt</operation>
    <operands>
      <operand>2</operand>
    </operands>
  </expression>
</calc>"
"What do you get if you subtract [[1, 8], [6, 7]] from [[5, 1], [2, 4]]?","<calc>
  <expression>
    <type>matrix</type>
    <operation>subtract</operation>
    <operands>
      <matrix>
        <row>5 1</row>
<row>2 4</row>
      </matrix>
      <matrix>
        <row>1 8</row>
<row>6 7</row>
      </matrix>
    </operands>
  </expression>
</calc>"
Multiply these numbers: 95 and 94.,"<calc>
  <expression>
    <type>binary</type>
    <operation>multiply</operation>
    <operands>
      <operand>95</operand>
      <operand>94</operand>
    </operands>
  </expression>
</calc>"
"Calculate the matrix subtraction of [[5, 8], [4, 3]] and [[4, 8], [2, 9]].","<calc>
  <expression>
    <type>matrix</type>
    <operation>subtract</operation>
    <operands>
      <matrix>
        <row>5 8</row>
<row>4 3</row>
      </matrix>
      <matrix>
        <row>4 8</row>
<row>2 9</row>
      </matrix>
    </operands>
  </expression>
</calc>"
How much is 26 divided by 61?,"<calc>
  <expression>
    <type>binary</type>
    <operation>divide</operation>
    <operands>
      <operand>26</operand>
      <operand>61</operand>
    </operands>
  </expression>
</calc>"
Calculate 99 ** 6.,"<calc>
  <expression>
    <type>binary</type>
    <operation>power</operation>
    <operands>
      <operand>99</operand>
      <operand>6</operand>
    </operands>
  </expression>
</calc>"
Calculate 52 ** 79.,"<calc>
  <expression>
    <type>binary</type>
    <operation>power</operation>
    <operands>
      <operand>52</operand>
      <operand>79</operand>
    </operands>
  </expression>
</calc>"
How much is 29 plus 96?,"<calc>
  <expression>
    <type>binary</type>
    <operation>add</operation>
    <operands>
      <operand>29</operand>
      <operand>96</operand>
    </operands>
  </expression>
</calc>"
How much is 70 less 6?,"<calc>
  <expression>
    <type>binary</type>
    <operation>subtract</operation>
    <operands>
      <operand>70</operand>
      <operand>6</operand>
    </operands>
  </expression>
</calc>"
Multiply 96 with 33.,"<calc>
  <expression>
    <type>binary</type>
    <operation>multiply</operation>
    <operands>
      <operand>96</operand>
      <operand>33</operand>
    </operands>
  </expression>
</calc>"
